epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,3770.76,1.27095,0.69839,0.00095,0.85614,0.66368,0.80944,0.69027,0.91801,0.72824,0.00103,0.00110379,0.00110379,0.00110379
43,3856.03,1.27735,0.76997,0.00101,0.91382,0.65015,0.80226,0.66199,1.04018,0.71177,0.00126,0.00109388,0.00109388,0.00109388
44,3943.01,1.3091,0.7444,0.00101,0.76698,0.76265,0.83485,0.71165,0.9437,0.63027,0.00116,0.00108397,0.00108397,0.00108397
45,4038,1.25083,0.70714,0.00097,0.89154,0.70423,0.84687,0.73482,0.88441,0.58376,0.001,0.00107407,0.00107407,0.00107407
46,4124,1.20486,0.64832,0.00096,0.80182,0.77009,0.84429,0.72816,0.85122,0.66051,0.00093,0.00106416,0.00106416,0.00106416
47,4211.73,1.28694,0.73347,0.00099,0.70111,0.7806,0.83008,0.71601,0.86397,0.65916,0.00099,0.00105425,0.00105425,0.00105425
48,4300.08,1.28804,0.74375,0.00101,0.85888,0.71893,0.81555,0.69855,0.88826,0.68404,0.00095,0.00104434,0.00104434,0.00104434
49,4385.5,1.31525,0.74908,0.001,0.8461,0.74558,0.84812,0.7276,0.90705,0.59556,0.00101,0.00103443,0.00103443,0.00103443
50,4472.79,1.23814,0.65625,0.00092,0.78072,0.74966,0.82884,0.71825,0.84432,0.68649,0.00093,0.00102453,0.00102453,0.00102453
51,4559.06,1.20384,0.68655,0.00096,0.76034,0.77339,0.83687,0.72188,0.89737,0.64947,0.001,0.00101462,0.00101462,0.00101462
52,4646.92,1.22422,0.70843,0.00092,0.85448,0.7234,0.82898,0.70883,0.88893,0.7097,0.00104,0.00100471,0.00100471,0.00100471
53,4737.64,1.27422,0.70276,0.00104,0.90973,0.66521,0.8298,0.71537,0.88883,0.64478,0.00095,0.000994804,0.000994804,0.000994804
54,4829.23,1.25476,0.73579,0.00093,0.92135,0.66734,0.8268,0.73173,0.81709,0.63888,0.0009,0.000984896,0.000984896,0.000984896
55,4915.53,1.19945,0.61309,0.00092,0.77805,0.73566,0.8342,0.71273,0.88239,0.62107,0.00102,0.000974989,0.000974989,0.000974989
