epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,909.15,0.75398,0.62626,0.00092,0.83421,0.41194,0.51385,0.43973,0.68558,1.37422,0.0012,0.000126543,0.000126543,0.000126543
43,928.577,0.74357,0.60266,0.0009,0.54123,0.52283,0.51839,0.44456,0.67964,1.35608,0.00118,0.000124435,0.000124435,0.000124435
44,947.974,0.73464,0.58805,0.00092,0.50916,0.49277,0.51806,0.43609,0.69353,1.35127,0.00121,0.000122326,0.000122326,0.000122326
45,967.321,0.79042,0.60288,0.00095,0.53463,0.50864,0.49962,0.42427,0.69638,1.40069,0.00126,0.000120217,0.000120217,0.000120217
46,986.71,0.7913,0.58764,0.00094,0.63063,0.47112,0.51367,0.44198,0.66088,1.40741,0.00114,0.000118108,0.000118108,0.000118108
47,1006.07,0.74806,0.54136,0.00087,0.48685,0.51394,0.52151,0.44622,0.68289,1.33829,0.00121,0.000116,0.000116,0.000116
48,1025.56,0.76377,0.58261,0.00089,0.67136,0.46224,0.51376,0.43762,0.67248,1.35578,0.00118,0.000113891,0.000113891,0.000113891
49,1044.99,0.7502,0.55971,0.00091,0.55559,0.5366,0.52341,0.44224,0.68683,1.32021,0.00121,0.000111782,0.000111782,0.000111782
50,1064.57,0.75153,0.54027,0.0009,0.62616,0.46236,0.51208,0.43666,0.65933,1.343,0.00117,0.000109674,0.000109674,0.000109674
51,1083.9,0.73346,0.50547,0.00087,0.6489,0.46887,0.51717,0.4431,0.66413,1.35362,0.00118,0.000107565,0.000107565,0.000107565
52,1103.24,0.75719,0.51168,0.00096,0.69357,0.44685,0.52059,0.44368,0.64978,1.36141,0.00115,0.000105456,0.000105456,0.000105456
53,1122.6,0.72805,0.50263,0.00087,0.5437,0.51471,0.52119,0.44484,0.66075,1.2987,0.00118,0.000103348,0.000103348,0.000103348
54,1141.97,0.74921,0.48193,0.0009,0.68109,0.45971,0.5212,0.44294,0.67527,1.34056,0.0012,0.000101239,0.000101239,0.000101239
55,1161.4,0.72137,0.47002,0.00086,0.59566,0.51581,0.51407,0.43674,0.6791,1.38156,0.00122,9.91302e-05,9.91302e-05,9.91302e-05
56,1180.86,0.72607,0.44529,0.00085,0.60361,0.503,0.51008,0.43292,0.67972,1.3949,0.00121,9.70215e-05,9.70215e-05,9.70215e-05
57,1200.22,0.73943,0.48187,0.00087,0.53804,0.4738,0.50068,0.42614,0.66753,1.3771,0.00117,9.49128e-05,9.49128e-05,9.49128e-05
58,1219.66,0.74497,0.46192,0.00085,0.65575,0.4651,0.50117,0.42527,0.66725,1.40863,0.00118,9.28041e-05,9.28041e-05,9.28041e-05
59,1239.04,0.70881,0.47744,0.00086,0.75434,0.45208,0.51959,0.43617,0.67954,1.36277,0.00118,9.06954e-05,9.06954e-05,9.06954e-05
60,1258.38,0.72208,0.46771,0.00083,0.75204,0.44384,0.51589,0.43789,0.66556,1.3813,0.00116,8.85867e-05,8.85867e-05,8.85867e-05
61,1277.73,0.742,0.46219,0.00088,0.47707,0.50721,0.51844,0.44076,0.66023,1.40439,0.00116,8.6478e-05,8.6478e-05,8.6478e-05
62,1297.8,0.7067,0.43145,0.00085,0.61233,0.47943,0.49431,0.42457,0.6673,1.38466,0.00116,8.43693e-05,8.43693e-05,8.43693e-05
63,1318.15,0.69773,0.44827,0.00083,0.69313,0.45122,0.49453,0.42285,0.67027,1.39169,0.00117,8.22606e-05,8.22606e-05,8.22606e-05
64,1337.55,0.73281,0.45559,0.00084,0.52063,0.48818,0.4935,0.42241,0.66044,1.35285,0.00116,8.01519e-05,8.01519e-05,8.01519e-05
65,1356.96,0.73809,0.46337,0.00085,0.60915,0.48334,0.50773,0.43766,0.64272,1.3816,0.00113,7.80432e-05,7.80432e-05,7.80432e-05
66,1376.49,0.7251,0.45845,0.00085,0.64995,0.47669,0.49952,0.42734,0.65297,1.41885,0.00113,7.59345e-05,7.59345e-05,7.59345e-05
67,1395.84,0.66242,0.39132,0.00081,0.64296,0.44827,0.51072,0.43868,0.63531,1.4409,0.00112,7.38258e-05,7.38258e-05,7.38258e-05
68,1415.29,0.72049,0.42388,0.00083,0.57347,0.45398,0.5038,0.43078,0.66668,1.40866,0.00117,7.17171e-05,7.17171e-05,7.17171e-05
69,1434.69,0.67583,0.39215,0.00081,0.68931,0.45754,0.50151,0.4283,0.65619,1.38284,0.00114,6.96084e-05,6.96084e-05,6.96084e-05
70,1454.05,0.63667,0.36552,0.00078,0.65784,0.4762,0.50425,0.43259,0.64849,1.37638,0.00112,6.74997e-05,6.74997e-05,6.74997e-05
71,1474.12,0.66896,0.39381,0.00079,0.65636,0.47245,0.50739,0.43411,0.6549,1.38176,0.00114,6.5391e-05,6.5391e-05,6.5391e-05
72,1493.56,0.69396,0.40697,0.00082,0.6315,0.45586,0.50278,0.43112,0.63496,1.38243,0.00111,6.32823e-05,6.32823e-05,6.32823e-05
73,1512.93,0.67829,0.40204,0.00082,0.56363,0.49085,0.50947,0.43404,0.66557,1.38254,0.00118,6.11736e-05,6.11736e-05,6.11736e-05
74,1532.43,0.67912,0.40104,0.0008,0.70004,0.44501,0.50689,0.43054,0.67193,1.37739,0.00117,5.90649e-05,5.90649e-05,5.90649e-05
75,1551.85,0.6631,0.39607,0.00077,0.76525,0.43944,0.48948,0.42493,0.62314,1.3631,0.00109,5.69562e-05,5.69562e-05,5.69562e-05
76,1571.19,0.6734,0.39209,0.0008,0.76611,0.42729,0.50322,0.43105,0.63857,1.38241,0.00112,5.48475e-05,5.48475e-05,5.48475e-05
77,1590.64,0.70705,0.39974,0.00079,0.71133,0.4518,0.50823,0.43471,0.6448,1.42003,0.00112,5.27388e-05,5.27388e-05,5.27388e-05
78,1610.03,0.69682,0.38116,0.00078,0.66132,0.4578,0.50593,0.43744,0.63878,1.42712,0.00111,5.06301e-05,5.06301e-05,5.06301e-05
79,1629.52,0.65028,0.37783,0.0008,0.71671,0.45263,0.5113,0.44193,0.63083,1.38419,0.00111,4.85214e-05,4.85214e-05,4.85214e-05
80,1648.84,0.6751,0.40688,0.00079,0.59777,0.47206,0.51599,0.44331,0.62943,1.38522,0.0011,4.64127e-05,4.64127e-05,4.64127e-05
81,1668.5,0.65383,0.34793,0.00078,0.73532,0.42991,0.50917,0.43569,0.63529,1.39708,0.00111,4.4304e-05,4.4304e-05,4.4304e-05
82,1688.8,0.63911,0.34567,0.00079,0.71182,0.45066,0.50811,0.43734,0.63482,1.40373,0.0011,4.21953e-05,4.21953e-05,4.21953e-05
83,1708.56,0.67235,0.36116,0.00077,0.71161,0.44692,0.51417,0.44602,0.62886,1.38997,0.0011,4.00866e-05,4.00866e-05,4.00866e-05
84,1727.96,0.63925,0.36285,0.00075,0.71894,0.45012,0.52124,0.44715,0.63075,1.38304,0.0011,3.79779e-05,3.79779e-05,3.79779e-05
85,1747.35,0.65036,0.34722,0.00079,0.7145,0.46111,0.51935,0.44737,0.64132,1.38498,0.00112,3.58692e-05,3.58692e-05,3.58692e-05
86,1766.85,0.65954,0.37618,0.00076,0.7148,0.45775,0.51237,0.43841,0.65146,1.37972,0.00113,3.37605e-05,3.37605e-05,3.37605e-05
87,1786.19,0.64787,0.35719,0.00077,0.72218,0.44192,0.5149,0.44293,0.63204,1.37168,0.0011,3.16518e-05,3.16518e-05,3.16518e-05
