epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1805.03,0.59158,0.38051,0.00072,0.67841,0.60755,0.66451,0.57835,0.58636,1.02712,0.00104,0.000126543,0.000126543,0.000126543
43,1836.16,0.57581,0.31207,0.0007,0.7262,0.57183,0.65337,0.55982,0.58598,1.09663,0.00102,0.000124435,0.000124435,0.000124435
44,1867.22,0.57075,0.3301,0.00073,0.75025,0.53357,0.63483,0.54903,0.58482,1.11874,0.00104,0.000122326,0.000122326,0.000122326
45,1898.21,0.59394,0.33987,0.00072,0.88627,0.4783,0.62569,0.54073,0.59537,1.02829,0.00105,0.000120217,0.000120217,0.000120217
46,1929.19,0.58688,0.33711,0.0007,0.83676,0.51686,0.63629,0.54948,0.58772,1.04579,0.00106,0.000118108,0.000118108,0.000118108
47,1960.28,0.57335,0.31069,0.00068,0.72314,0.54173,0.63359,0.54286,0.58757,1.14673,0.00104,0.000116,0.000116,0.000116
48,1991.39,0.59661,0.30962,0.0007,0.69668,0.54485,0.62821,0.54342,0.59297,1.05603,0.00103,0.000113891,0.000113891,0.000113891
49,2022.43,0.56644,0.32251,0.00069,0.74408,0.54151,0.62143,0.53248,0.61161,1.08199,0.00104,0.000111782,0.000111782,0.000111782
50,2053.49,0.55303,0.30569,0.00065,0.78882,0.53663,0.63452,0.55568,0.54325,1.03518,0.00095,0.000109674,0.000109674,0.000109674
51,2084.55,0.54789,0.28961,0.00065,0.74705,0.5034,0.62952,0.54337,0.57401,1.12167,0.00102,0.000107565,0.000107565,0.000107565
52,2115.64,0.55992,0.27991,0.00071,0.68221,0.56115,0.65647,0.5568,0.59668,1.08244,0.00105,0.000105456,0.000105456,0.000105456
53,2146.7,0.54641,0.29379,0.00066,0.71918,0.60197,0.62287,0.542,0.56803,1.10598,0.00099,0.000103348,0.000103348,0.000103348
54,2177.69,0.53744,0.26601,0.00065,0.69228,0.59338,0.64212,0.55224,0.58035,1.0873,0.00104,0.000101239,0.000101239,0.000101239
55,2208.76,0.53965,0.26646,0.00064,0.76024,0.55257,0.61924,0.54356,0.54292,1.17173,0.00095,9.91302e-05,9.91302e-05,9.91302e-05
