epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,800.576,1.3751,0.92343,0.00114,0.62019,0.59411,0.60542,0.47236,1.27744,1.40742,0.00134,0.000900682,0.000900682,0.000900682
43,819.812,1.4123,0.97729,0.00117,0.62992,0.5587,0.60606,0.46887,1.3392,1.43222,0.00138,0.00088582,0.00088582,0.00088582
44,839.01,1.41363,0.9628,0.00114,0.69222,0.56863,0.62684,0.46139,1.41846,1.31481,0.00165,0.000870959,0.000870959,0.000870959
45,858.033,1.33687,0.87581,0.00112,0.65876,0.57062,0.64531,0.51224,1.13579,1.30436,0.00113,0.000856098,0.000856098,0.000856098
46,877.237,1.33426,0.88613,0.0011,0.75163,0.58561,0.63861,0.46648,1.47494,1.34063,0.00163,0.000841236,0.000841236,0.000841236
47,896.201,1.40254,0.90902,0.00114,0.68906,0.54678,0.59774,0.4678,1.28125,1.35835,0.00137,0.000826375,0.000826375,0.000826375
48,915.242,1.407,0.89629,0.00112,0.63817,0.51287,0.59261,0.44873,1.36546,1.38531,0.00148,0.000811513,0.000811513,0.000811513
49,934.538,1.39274,0.84363,0.00113,0.5613,0.63997,0.62596,0.48037,1.26679,1.43263,0.00133,0.000796652,0.000796652,0.000796652
50,953.475,1.34433,0.81986,0.00106,0.72395,0.5826,0.64446,0.493,1.31279,1.25729,0.00135,0.00078179,0.00078179,0.00078179
51,972.562,1.34157,0.85407,0.00111,0.66624,0.52294,0.64475,0.46581,1.52295,1.32263,0.00175,0.000766929,0.000766929,0.000766929
52,991.628,1.35234,0.84327,0.00109,0.69555,0.58224,0.64834,0.50842,1.25213,1.23015,0.00138,0.000752068,0.000752068,0.000752068
53,1010.56,1.35965,0.83756,0.00111,0.65695,0.61886,0.63674,0.51026,1.1741,1.23387,0.00117,0.000737206,0.000737206,0.000737206
54,1029.71,1.30621,0.77711,0.00105,0.73635,0.51141,0.62485,0.48338,1.30225,1.32042,0.00135,0.000722345,0.000722345,0.000722345
