epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,794.054,1.15127,0.86653,0.00093,0.77436,0.43841,0.49875,0.39832,1.18364,1.68562,0.00126,0.00012705,0.00012705,0.00012705
43,812.831,1.18268,0.88416,0.00095,0.72472,0.48159,0.51763,0.40553,1.21168,1.62046,0.00132,0.000124953,0.000124953,0.000124953
44,831.666,1.22343,0.91522,0.00096,0.6764,0.47536,0.50871,0.40733,1.12239,1.71114,0.00114,0.000122857,0.000122857,0.000122857
45,850.508,1.16765,0.88632,0.00094,0.75806,0.44661,0.52322,0.42038,1.14896,1.63894,0.00122,0.000120761,0.000120761,0.000120761
46,869.347,1.16501,0.822,0.00093,0.75734,0.45091,0.51678,0.40922,1.14367,1.64403,0.00118,0.000118664,0.000118664,0.000118664
47,888.202,1.22644,0.85801,0.00096,0.65054,0.45709,0.5244,0.42498,1.08923,1.60787,0.0011,0.000116568,0.000116568,0.000116568
48,907.054,1.20761,0.84583,0.00093,0.80449,0.41555,0.51574,0.41916,1.08527,1.62705,0.00109,0.000114472,0.000114472,0.000114472
49,925.848,1.18326,0.80278,0.00092,0.62127,0.45731,0.5093,0.40903,1.11044,1.65014,0.00116,0.000112375,0.000112375,0.000112375
50,944.629,1.11111,0.75504,0.00085,0.71461,0.42554,0.51078,0.40925,1.11273,1.60583,0.00111,0.000110279,0.000110279,0.000110279
51,963.482,1.17933,0.76836,0.00094,0.72411,0.44375,0.5254,0.4231,1.10784,1.56771,0.00108,0.000108183,0.000108183,0.000108183
52,982.391,1.13241,0.74373,0.00089,0.64992,0.48823,0.52026,0.42924,1.03677,1.55382,0.001,0.000106086,0.000106086,0.000106086
53,1001.18,1.13006,0.76934,0.00088,0.60494,0.48949,0.52736,0.4254,1.07234,1.52849,0.00101,0.00010399,0.00010399,0.00010399
54,1020.04,1.1393,0.7115,0.00089,0.56819,0.50758,0.51617,0.42178,1.05574,1.54557,0.00104,0.000101894,0.000101894,0.000101894
55,1038.81,1.16684,0.74387,0.0009,0.67116,0.43268,0.51946,0.42089,1.08987,1.62759,0.00107,9.97973e-05,9.97973e-05,9.97973e-05
56,1057.53,1.17677,0.75046,0.00092,0.58551,0.48579,0.50929,0.41262,1.0624,1.52921,0.00107,9.7701e-05,9.7701e-05,9.7701e-05
57,1076.3,1.15824,0.7618,0.0009,0.57728,0.49686,0.51289,0.41397,1.08802,1.50276,0.00108,9.56046e-05,9.56046e-05,9.56046e-05
58,1095.19,1.17357,0.76706,0.00091,0.67559,0.48674,0.50743,0.41184,1.07191,1.48731,0.00111,9.35083e-05,9.35083e-05,9.35083e-05
59,1113.87,1.12129,0.66081,0.00086,0.74802,0.46292,0.51362,0.42295,0.99876,1.4838,0.001,9.14119e-05,9.14119e-05,9.14119e-05
